Phyfr_NOV-5	Phytophthora_fragariae7
Phyfr_NOV-71	Phytophthora_fragariae8
Phyfr_NOV-77	Phytophthora_fragariae9
Phyfr_ONT-3	Phytophthora_fragariae10
Phyfr_SCRP245	Phytophthora_fragariae11
Phygo_P17-128	Phytophthora_gonapodyides
Phyid_SCRP370	Phytophthora_idaei
Phyid_SCRP371	Phytophthora_idaei2
Phyid_SCRP376	Phytophthora_idaei3
Phyin_KR_2_A2	Phytophthora_infestans
Phyin_T30-4	Phytophthora_infestans_T30-4
Phyke_CBS122049	Phytophthora_kernoviae
Phyke_Chile1	Phytophthora_kernoviae2
Phyke_Chile2	Phytophthora_kernoviae3
Phyke_Chile4	Phytophthora_kernoviae4
Phyke_Chile6	Phytophthora_kernoviae5
Phyke_Chile7	Phytophthora_kernoviae6
Phyke_NZFS2646	Phytophthora_kernoviae7
Phyke_NZFS3630	Phytophthora_kernoviae8
Phyke_00238_432	Phytophthora_kernoviae_00238/432
Phyke_00629_1	Phytophthora_kernoviae_00629/1
Phyke_00844_4	Phytophthora_kernoviae_00844/4
Phyla_CBS168.42	Phytophthora_lateralis
Phyla_SMSTG	Phytophthora_lateralis2
Phyla_MPF4	Phytophthora_lateralis_MPF4
Phyla_MPF6	Phytophthora_lateralis_MPF6
Phyla_SMST21	Phytophthora_lateralis_SMST21
Phyli_SHS3	Phytophthora_litchii
Phyme_zdho120	Phytophthora_megakarya
Phymu_NZFS3378	Phytophthora_multivora
Phymu_NZFS3448	Phytophthora_multivora2
Phyni_JM01	Phytophthora_nicotianae
Phyni_race0	Phytophthora_nicotianae2
Phyni_race1	Phytophthora_nicotianae3
Phypa_B4PPRK_Kuching_Sarawak	Phytophthora_palmivora
Phypa_var.palmivora_sbr112.9	Phytophthora_palmivora_var._palmivora
Phypa_CHvinca01	Phytophthora_parasitica
Phypa_CJ02B3	Phytophthora_parasitica2
Phypa_CJ05E6	Phytophthora_parasitica3
Phypa_IAC_01_95	Phytophthora_parasitica4
Phypa_INRA-310	Phytophthora_parasitica_INRA-310
Phypi_CBS122922	Phytophthora_pinifolia
Phypi	Phytophthora_pisi
Phypl_AV1007	Phytophthora_plurivora
